num_workers,eta,beta,alpha,alpha_pull,loss
2,0.0005,1.0,1.0,0.55,1.2332772641115923
2,0.0005,1.0,1.0,0.775,1.6081241910978927
2,0.0005,1.0,1.0,1.0,3.0157752713582755
2,0.0005,2.0,0.1,0.1,0.8651820454970195
2,0.0005,2.0,0.1,0.325,3.3440957165989524
2,0.0005,2.0,0.1,0.55,3.675823278081364
2,0.0005,2.0,0.1,0.775,3.8591512943015354
2,0.0005,2.0,0.1,1.0,4.017737076722122
2,0.0005,2.0,0.325,0.1,3.001242584456466
2,0.0005,2.0,0.325,0.325,1.895736331946977
2,0.0005,2.0,0.325,0.55,2.5728204748574974
2,0.0005,2.0,0.325,0.775,2.933559890311014
2,0.0005,2.0,0.325,1.0,3.158737457469789
2,0.0005,2.0,0.55,0.1,2.8210066006977903
2,0.0005,2.0,0.55,0.325,1.1209809294857218
2,0.0005,2.0,0.55,0.55,1.8533622085605195
2,0.0005,2.0,0.55,0.775,2.325170208483754
2,0.0005,2.0,0.55,1.0,2.632797449000251
2,0.0005,2.0,0.775,0.1,2.6733356580632543
2,0.0005,2.0,0.775,0.325,0.772962426911198
2,0.0005,2.0,0.775,0.55,1.3346139889706652
2,0.0005,2.0,0.775,0.775,1.8362026522537567
2,0.0005,2.0,0.775,1.0,0.39370850098471716
2,0.0005,2.0,1.0,0.1,2.6130931709484466
2,0.0005,2.0,1.0,0.325,0.6177226847706044
2,0.0005,2.0,1.0,0.55,0.9985392064126376
2,0.0005,2.0,1.0,0.775,0.2615882292009484
2,0.0005,2.0,1.0,1.0,2.6663219298858687
2,0.0005,5.0,0.1,0.1,nan
2,0.0005,5.0,0.1,0.325,nan
2,0.0005,5.0,0.1,0.55,nan
2,0.0005,5.0,0.1,0.775,nan
2,0.0005,5.0,0.1,1.0,nan
2,0.0005,5.0,0.325,0.1,nan
2,0.0005,5.0,0.325,0.325,nan
2,0.0005,5.0,0.325,0.55,nan
2,0.0005,5.0,0.325,0.775,nan
2,0.0005,5.0,0.325,1.0,nan
2,0.0005,5.0,0.55,0.1,nan
2,0.0005,5.0,0.55,0.325,nan
2,0.0005,5.0,0.55,0.55,nan
2,0.0005,5.0,0.55,0.775,nan
2,0.0005,5.0,0.55,1.0,nan
2,0.0005,5.0,0.775,0.1,nan
2,0.0005,5.0,0.775,0.325,nan
2,0.0005,5.0,0.775,0.55,nan
2,0.0005,5.0,0.775,0.775,nan
2,0.0005,5.0,0.775,1.0,nan
2,0.0005,5.0,1.0,0.1,nan
2,0.0005,5.0,1.0,0.325,nan
2,0.0005,5.0,1.0,0.55,nan
2,0.0005,5.0,1.0,0.775,nan
2,0.0005,5.0,1.0,1.0,nan
2,0.002321,0.5,0.1,0.1,1.1101529612734151
2,0.002321,0.5,0.1,0.325,1.5777692984855958
2,0.002321,0.5,0.1,0.55,2.130330206432676
2,0.002321,0.5,0.1,0.775,2.373737270564189
2,0.002321,0.5,0.1,1.0,2.793001352754621
2,0.002321,0.5,0.325,0.1,0.1606375043984895
2,0.002321,0.5,0.325,0.325,2.041968581504445
2,0.002321,0.5,0.325,0.55,0.4498924795545074
2,0.002321,0.5,0.325,0.775,0.2528855057504261
2,0.002321,0.5,0.325,1.0,0.31578942246979225
2,0.002321,0.5,0.55,0.1,0.1956153413381624
2,0.002321,0.5,0.55,0.325,4.117931820352561
2,0.002321,0.5,0.55,0.55,2.080451565200078
2,0.002321,0.5,0.55,0.775,0.7313619796911814
2,0.002321,0.5,0.55,1.0,0.4055942345679149
2,0.002321,0.5,0.775,0.1,0.03067583046225661
2,0.002321,0.5,0.775,0.325,4.510993301921469
2,0.002321,0.5,0.775,0.55,4.350976257160848
2,0.002321,0.5,0.775,0.775,2.021656226120369
2,0.002321,0.5,0.775,1.0,1.5187609289449648
2,0.002321,0.5,1.0,0.1,0.29303194644124825
2,0.002321,0.5,1.0,0.325,4.854988483703825
2,0.002321,0.5,1.0,0.55,3.7985840065759913
2,0.002321,0.5,1.0,0.775,3.385987888007526
2,0.002321,0.5,1.0,1.0,1.7473710593694847
2,0.002321,1.0,0.1,0.1,0.9042723031643325
2,0.002321,1.0,0.1,0.325,1.2750105950908424
2,0.002321,1.0,0.1,0.55,1.9876167193226948
2,0.002321,1.0,0.1,0.775,2.2855250838019234
2,0.002321,1.0,0.1,1.0,2.6986054057219913
2,0.002321,1.0,0.325,0.1,0.1475773388141092
2,0.002321,1.0,0.325,0.325,0.05772771145936424
